execution_timestamp	kpi	value
20230525_052802	Yksilön aikavälin keskikoko	63.059
20230525_055308	Viestin aikaväliennuste väärin	0.077
20230525_055308	Yksilöennusteen keskivirhe	12.563
20230525_055308	Yksilön aikaväliennuste väärin	0.049
20230525_055308	Yksilön aikavälin keskikoko	66.873
20230525_182610	Viestin aikaväliennuste väärin	0.172
20230525_182610	Yksilöennusteen keskivirhe	21.66
20230525_182610	Yksilön aikaväliennuste väärin	0.122
20230525_182610	Yksilön aikavälin keskikoko	72.629
20230525_184756	Viestin aikaväliennuste väärin	0.07
20230525_184756	Yksilöennusteen keskivirhe	12.039
20230525_184756	Yksilön aikaväliennuste väärin	0.046
20230525_184756	Yksilön aikavälin keskikoko	65.534
20230525_190455	Viestin aikaväliennuste väärin	0.876
20230525_190455	Yksilöennusteen keskivirhe	54.489
20230525_190455	Yksilön aikaväliennuste väärin	0.747
20230525_190455	Yksilön aikavälin keskikoko	30.173
20230525_195759	Viestin aikaväliennuste väärin	0.074
20230525_195759	Yksilöennusteen keskivirhe	12.47
20230525_195759	Yksilön aikaväliennuste väärin	0.047
20230525_195759	Yksilön aikavälin keskikoko	66.947
20230525_201617	Viestin aikaväliennuste väärin	0.08
20230525_201617	Yksilöennusteen keskivirhe	12.552
20230525_201617	Yksilön aikaväliennuste väärin	0.048
20230525_201617	Yksilön aikavälin keskikoko	67.01
20230526_040923	Viestin aikaväliennuste väärin	0.063
20230526_040923	Yksilöennusteen keskivirhe	12.47
20230526_040923	Yksilön aikaväliennuste väärin	0.04
20230526_040923	Yksilön aikavälin keskikoko	70.258
20230526_052451	Viestin aikaväliennuste väärin	0.054
20230526_052451	Yksilöennusteen keskivirhe	12.47
20230526_052451	Yksilön aikaväliennuste väärin	0.035
20230526_052451	Yksilön aikavälin keskikoko	75.378
20230527_094358	Viestin aikaväliennuste väärin	0.054
20230527_094358	Yksilöennusteen keskivirhe	12.47
20230527_094358	Yksilön aikaväliennuste väärin	0.035
20230527_094358	Yksilön aikavälin keskikoko	75.378
20230527_100408	Viestin aikaväliennuste väärin	0.054
20230527_100408	Yksilöennusteen keskivirhe	12.47
20230527_100408	Yksilön aikaväliennuste väärin	0.035
20230527_100408	Yksilön aikavälin keskikoko	75.378
20230527_103047	Viestin aikaväliennuste väärin	0.054
20230527_103047	Yksilöennusteen keskivirhe	12.47
20230527_103047	Yksilön aikaväliennuste väärin	0.035
20230527_103047	Yksilön aikavälin keskikoko	75.378
20230527_120200	Viestin aikaväliennuste väärin	0.053
20230527_120200	Yksilöennusteen keskivirhe	12.464
20230527_120200	Yksilön aikaväliennuste väärin	0.036
20230527_120200	Yksilön aikavälin keskikoko	75.674
20230527_155347	Viestin aikaväliennuste väärin	0.051
20230527_155347	Yksilöennusteen keskivirhe	12.422
20230527_155347	Yksilön aikaväliennuste väärin	0.035
20230527_155347	Yksilön aikavälin keskikoko	75.876
20230527_171144	Viestin aikaväliennuste väärin	0.049
20230527_171144	Yksilöennusteen keskivirhe	12.421
20230527_171144	Yksilön aikaväliennuste väärin	0.033
20230527_171144	Yksilön aikavälin keskikoko	76.305
20230527_181741	Viestin aikaväliennuste väärin	0.049
20230527_181741	Yksilöennusteen keskivirhe	12.416
20230527_181741	Yksilön aikaväliennuste väärin	0.034
20230527_181741	Yksilön aikavälin keskikoko	76.073
20230528_134020	Viestin aikaväliennuste väärin	0.049
20230528_134020	Yksilöennusteen keskivirhe	12.4
20230528_134020	Yksilön aikaväliennuste väärin	0.033
20230528_134020	Yksilön aikavälin keskikoko	76.312
20230528_201030	Viestin aikaväliennuste väärin	0.049
20230528_201030	Yksilöennusteen keskivirhe	12.588
20230528_201030	Yksilön aikaväliennuste väärin	0.034
20230528_201030	Yksilön aikavälin keskikoko	77.043
20230528_205139	Viestin aikaväliennuste väärin	0.05
20230528_205139	Yksilöennusteen keskivirhe	12.576
20230528_205139	Yksilön aikaväliennuste väärin	0.034
20230528_205139	Yksilön aikavälin keskikoko	76.939
20230529_065010	Viestin aikaväliennuste väärin	0.051
20230529_065010	Yksilöennusteen keskivirhe	12.506
20230529_065010	Yksilön aikaväliennuste väärin	0.036
20230529_065010	Yksilön aikavälin keskikoko	75.158
20230529_151135	Viestin aikaväliennuste väärin	0.051
20230529_151135	Yksilöennusteen keskivirhe	12.501
20230529_151135	Yksilön aikaväliennuste väärin	0.035
20230529_151135	Yksilön aikavälin keskikoko	75.026
20230529_154416	Viestin aikaväliennuste väärin	0.051
20230529_154416	Yksilöennusteen keskivirhe	12.502
20230529_154416	Yksilön aikaväliennuste väärin	0.036
20230529_154416	Yksilön aikavälin keskikoko	75.266
20230529_180300	Viestin aikaväliennuste väärin	0.052
20230529_180300	Yksilöennusteen keskivirhe	12.498
20230529_180300	Yksilön aikaväliennuste väärin	0.036
20230529_180300	Yksilön aikavälin keskikoko	74.896
20230529_182315	Viestin aikaväliennuste väärin	0.052
20230529_182315	Yksilöennusteen keskivirhe	12.489
20230529_182315	Yksilön aikaväliennuste väärin	0.036
20230529_182315	Yksilön aikavälin keskikoko	75.258
20230529_184513	Viestin aikaväliennuste väärin	0.052
20230529_184513	Yksilöennusteen keskivirhe	12.513
20230529_184513	Yksilön aikaväliennuste väärin	0.037
20230529_184513	Yksilön aikavälin keskikoko	74.921
20230529_190515	Viestin aikaväliennuste väärin	0.051
20230529_190515	Yksilöennusteen keskivirhe	12.488
20230529_190515	Yksilön aikaväliennuste väärin	0.035
20230529_190515	Yksilön aikavälin keskikoko	75.402
20230529_212523	Viestin aikaväliennuste väärin	0.051
20230529_212523	Yksilöennusteen keskivirhe	12.488
20230529_212523	Yksilön aikaväliennuste väärin	0.034
20230529_212523	Yksilön aikavälin keskikoko	75.539
20230531_175115	Viestin aikaväliennuste väärin	0.05
20230531_175115	Yksilöennusteen keskivirhe	12.503
20230531_175115	Yksilön aikaväliennuste väärin	0.034
20230531_175115	Yksilön aikavälin keskikoko	75.956
20230531_205825	Viestin aikaväliennuste väärin	0.052
20230531_205825	Yksilöennusteen keskivirhe	12.496
20230531_205825	Yksilön aikaväliennuste väärin	0.036
20230531_205825	Yksilön aikavälin keskikoko	74.878
20230601_061023	Viestin aikaväliennuste väärin	0.051
20230601_061023	Yksilöennusteen keskivirhe	12.49
20230601_061023	Yksilön aikaväliennuste väärin	0.036
20230601_061023	Yksilön aikavälin keskikoko	75.527
20230607_180831	Viestin aikaväliennuste väärin	0.05
20230607_180831	Yksilöennusteen keskivirhe	12.513
20230607_180831	Yksilön aikaväliennuste väärin	0.035
20230607_180831	Yksilön aikavälin keskikoko	75.553
20230616_052724	Viestin aikaväliennuste väärin	0.05
20230616_052724	Yksilöennusteen keskivirhe	12.76
20230616_052724	Yksilön aikaväliennuste väärin	0.036
20230616_052724	Yksilön aikavälin keskikoko	75.894
20230616_054454	Viestin aikaväliennuste väärin	0.052
20230616_054454	Yksilöennusteen keskivirhe	12.471
20230616_054454	Yksilön aikaväliennuste väärin	0.036
20230616_054454	Yksilön aikavälin keskikoko	74.702
20230616_072149	Viestin aikaväliennuste väärin	0.05
20230616_072149	Yksilöennusteen keskivirhe	12.391
20230616_072149	Yksilön aikaväliennuste väärin	0.036
20230616_072149	Yksilön aikavälin keskikoko	74.49
20230616_074853	Viestin aikaväliennuste väärin	0.052
20230616_074853	Yksilöennusteen keskivirhe	12.363
20230616_074853	Yksilön aikaväliennuste väärin	0.037
20230616_074853	Yksilön aikavälin keskikoko	73.743
20230616_090741	Viestin aikaväliennuste väärin	0.051
20230616_090741	Yksilöennusteen keskivirhe	12.382
20230616_090741	Yksilön aikaväliennuste väärin	0.036
20230616_090741	Yksilön aikavälin keskikoko	75.002
20230616_104940	Viestin aikaväliennuste väärin	0.051
20230616_104940	Yksilöennusteen keskivirhe	12.382
20230616_104940	Yksilön aikaväliennuste väärin	0.036
20230616_104940	Yksilön aikavälin keskikoko	75.002
20230619_195340	Viestin aikaväliennuste väärin	0.082
20230619_195340	Yksilöennusteen keskivirhe	13.452
20230619_195340	Yksilön aikaväliennuste väärin	0.049
20230619_195340	Yksilön aikavälin keskikoko	75.808
20240313_194123	Viestin aikaväliennuste väärin	0.076
20240313_194123	Yksilöennusteen keskivirhe	13.258
20240313_194123	Yksilön aikaväliennuste väärin	0.045
20240313_194123	Yksilön aikavälin keskikoko	75.836
20240313_211319	Viestin aikaväliennuste väärin	0.076
20240313_211319	Yksilöennusteen keskivirhe	13.258
20240313_211319	Yksilön aikaväliennuste väärin	0.045
20240313_211319	Yksilön aikavälin keskikoko	75.836
20240314_054409	Viestin aikaväliennuste väärin	0.076
20240314_054409	Yksilöennusteen keskivirhe	13.251
20240314_054409	Yksilön aikaväliennuste väärin	0.045
20240314_054409	Yksilön aikavälin keskikoko	75.846
20240316_082227	Viestin aikaväliennuste väärin	0.234
20240316_082227	Yksilöennusteen keskivirhe	20.788
20240316_082227	Yksilön aikaväliennuste väärin	0.094
20240316_082227	Yksilön aikavälin keskikoko	91.808
20240316_082857	Viestin aikaväliennuste väärin	0.069
20240316_082857	Yksilöennusteen keskivirhe	13.27
20240316_082857	Yksilön aikaväliennuste väärin	0.04
20240316_082857	Yksilön aikavälin keskikoko	77.663
20240316_092056	Viestin aikaväliennuste väärin	0.069
20240316_092056	Yksilöennusteen keskivirhe	13.27
20240316_092056	Yksilön aikaväliennuste väärin	0.04
20240316_092056	Yksilön aikavälin keskikoko	77.663
20240316_094835	Viestin aikaväliennuste väärin	0.067
20240316_094835	Yksilöennusteen keskivirhe	13.27
20240316_094835	Yksilön aikaväliennuste väärin	0.038
20240316_094835	Yksilön aikavälin keskikoko	78.172
20240316_100831	Viestin aikaväliennuste väärin	0.067
20240316_100831	Yksilöennusteen keskivirhe	13.27
20240316_100831	Yksilön aikaväliennuste väärin	0.038
20240316_100831	Yksilön aikavälin keskikoko	78.172
20240316_103455	Viestin aikaväliennuste väärin	0.066
20240316_103455	Yksilöennusteen keskivirhe	13.263
20240316_103455	Yksilön aikaväliennuste väärin	0.037
20240316_103455	Yksilön aikavälin keskikoko	78.522
20240318_061308	Viestin aikaväliennuste väärin	0.066
20240318_061308	Yksilöennusteen keskivirhe	13.263
20240318_061308	Yksilön aikaväliennuste väärin	0.037
20240318_061308	Yksilön aikavälin keskikoko	78.522
20240318_064029	Viestin aikaväliennuste väärin	0.069
20240318_064029	Yksilöennusteen keskivirhe	13.27
20240318_064029	Yksilön aikaväliennuste väärin	0.04
20240318_064029	Yksilön aikavälin keskikoko	77.663
20240318_205102	Viestin aikaväliennuste väärin	0.067
20240318_205102	Yksilöennusteen keskivirhe	13.309
20240318_205102	Yksilön aikaväliennuste väärin	0.038
20240318_205102	Yksilön aikavälin keskikoko	78.906
20240319_073248	Viestin aikaväliennuste väärin	0.066
20240319_073248	Yksilöennusteen keskivirhe	13.293
20240319_073248	Yksilön aikaväliennuste väärin	0.038
20240319_073248	Yksilön aikavälin keskikoko	78.791
20240319_164945	Viestin aikaväliennuste väärin	0.066
20240319_164945	Yksilöennusteen keskivirhe	13.37
20240319_164945	Yksilön aikaväliennuste väärin	0.039
20240319_164945	Yksilön aikavälin keskikoko	78.758
20240319_190548	Viestin aikaväliennuste väärin	0.062
20240319_190548	Yksilöennusteen keskivirhe	14.938
20240319_190548	Yksilön aikaväliennuste väärin	0.034
20240319_190548	Yksilön aikavälin keskikoko	91.5
20240319_205354	Viestin aikaväliennuste väärin	0.062
20240319_205354	Yksilöennusteen keskivirhe	14.938
20240319_205354	Yksilön aikaväliennuste väärin	0.034
20240319_205354	Yksilön aikavälin keskikoko	91.5
20240320_052918	Viestin aikaväliennuste väärin	0.208
20240320_052918	Yksilöennusteen keskivirhe	21.022
20240320_052918	Yksilön aikaväliennuste väärin	0.078
20240320_052918	Yksilön aikavälin keskikoko	94.654
20240320_062527	Viestin aikaväliennuste väärin	0.063
20240320_062527	Yksilöennusteen keskivirhe	13.505
20240320_062527	Yksilön aikaväliennuste väärin	0.037
20240320_062527	Yksilön aikavälin keskikoko	80.592
20240320_174058	Viestin aikaväliennuste väärin	0.063
20240320_174058	Yksilöennusteen keskivirhe	13.505
20240320_174058	Yksilön aikaväliennuste väärin	0.037
20240320_174058	Yksilön aikavälin keskikoko	80.592
20240513_190554	Viestin aikaväliennuste väärin	0.063
20240513_190554	Yksilöennusteen keskivirhe	13.505
20240513_190554	Yksilön aikaväliennuste väärin	0.037
20240513_190554	Yksilön aikavälin keskikoko	80.592
20240514_164846	Viestin aikaväliennuste väärin	0.063
20240514_164846	Yksilöennusteen keskivirhe	13.505
20240514_164846	Yksilön aikaväliennuste väärin	0.037
20240514_164846	Yksilön aikavälin keskikoko	80.592
20240515_190619	Viestin aikaväliennuste väärin	0.063
20240515_190619	Yksilöennusteen keskivirhe	13.505
20240515_190619	Yksilön aikaväliennuste väärin	0.037
20240515_190619	Yksilön aikavälin keskikoko	80.592
20240522_155937	Viestin aikaväliennuste väärin	0.063
20240522_155937	Yksilöennusteen keskivirhe	13.505
20240522_155937	Yksilön aikaväliennuste väärin	0.037
20240522_155937	Yksilön aikavälin keskikoko	80.592
20240522_193939	Viestin aikaväliennuste väärin	0.076
20240522_193939	Yksilöennusteen keskivirhe	14.549
20240522_193939	Yksilön aikaväliennuste väärin	0.042
20240522_193939	Yksilön aikavälin keskikoko	83.286
20240522_202413	Viestin aikaväliennuste väärin	0.076
20240522_202413	Yksilöennusteen keskivirhe	14.549
20240522_202413	Yksilön aikaväliennuste väärin	0.042
